run_timestamp,market_id,market_type,question,yes_price,taker_fee_rate,action,confidence,gross_edge,net_edge,reason,execution_mode,execution_side,limit_price,expected_net_edge,execution_reason
1779603620,573655,price_target,"Will Bitcoin hit $150k by June 30, 2026?",0.0135,0.07,HOLD,0.0,0.0,-0.07704500000000002,净优势不足，等待更清晰的定价偏差,SKIP,,,-0.07704500000000002,Taker 净优势不足，Maker 条件也未达到，继续观察
1779603620,2132776,price_target,"Will Bitcoin reach $85,000 in May?",0.049,0.07,HOLD,0.0,-0.004041666666666666,-0.07828666666666668,净优势不足，等待更清晰的定价偏差,SKIP,,,-0.07828666666666668,Taker 净优势不足，Maker 条件也未达到，继续观察
1779603620,2132771,price_target,"Will Bitcoin reach $110,000 in May?",0.0025,0.07,HOLD,0.0,0.00016666666666666653,-0.07715833333333336,净优势不足，等待更清晰的定价偏差,SKIP,,,-0.07715833333333336,Taker 净优势不足，Maker 条件也未达到，继续观察
1779603620,2132775,price_target,"Will Bitcoin reach $90,000 in May?",0.0115,0.07,HOLD,0.0,-0.0017500000000000016,-0.07844500000000001,净优势不足，等待更清晰的定价偏差,SKIP,,,-0.07844500000000001,Taker 净优势不足，Maker 条件也未达到，继续观察
1779603620,2285048,price_range_daily,"Will the price of Bitcoin be above $80,000 on May 24?",0.0025,0.07,AVOID,1.0,-0.005517361111111111,-0.08284236111111112,短期隐含概率转弱,SKIP,,,-0.08284236111111112,Taker 净优势不足，Maker 条件也未达到，继续观察
1779603620,2132780,price_target,"Will Bitcoin dip to $65,000 in May?",0.03,0.07,HOLD,0.0,-0.00016666666666666566,-0.07556666666666667,净优势不足，等待更清晰的定价偏差,SKIP,,,-0.07556666666666667,Taker 净优势不足，Maker 条件也未达到，继续观察
1779603620,2285038,price_range_daily,"Will the price of Bitcoin be above $72,000 on May 24?",0.9985,0.07,HOLD,0.0,0.0025590277777778336,-0.005045972222222163,净优势不足，等待更清晰的定价偏差,SKIP,,,-0.005045972222222163,Taker 净优势不足，Maker 条件也未达到，继续观察
1779603620,2285034,price_range_daily,"Will the price of Bitcoin be above $68,000 on May 24?",0.9995,0.07,HOLD,0.0,0.0001388888888889106,-0.007396111111111086,净优势不足，等待更清晰的定价偏差,SKIP,,,-0.007396111111111086,Taker 净优势不足，Maker 条件也未达到，继续观察
1779603620,2285036,price_range_daily,"Will the price of Bitcoin be above $70,000 on May 24?",0.9995,0.07,HOLD,0.0,0.0010277777777777386,-0.006507222222222258,净优势不足，等待更清晰的定价偏差,SKIP,,,-0.006507222222222258,Taker 净优势不足，Maker 条件也未达到，继续观察
1779603620,2132774,price_target,"Will Bitcoin reach $95,000 in May?",0.0055,0.07,HOLD,0.0,-6.249999999999919e-05,-0.07717750000000001,净优势不足，等待更清晰的定价偏差,SKIP,,,-0.07717750000000001,Taker 净优势不足，Maker 条件也未达到，继续观察
